artist,genres,genre
Maurice Ravel,"Impressionism, Classical, Orchestral",Classical
Richard Wagner,"Romanticism, Opera, Orchestral",Classical
Florian Christl,"Classical, instrumental, piano",Classical
Flying Fingers,"Jazz, Funk, Fusion",Blues
Emile Mosseri,"Soundtrack, ambient, classical",Indie pop
Elin Porsinger,"Pop, Electronic, Indie",Indie pop
Edvard Grieg,"Classical, Romantic, Nationalistic.",Classical
Ryuichi Sakamoto,"Electronic, ambient, classical",Electronic
Quiet Gaze,"Indie Rock, Dream Pop, Shoegaze",Ambient
Philip Glass,"Minimalism, contemporary classical, avant-garde",Minimalism
TwoPlusFour,"Pop, R&B, Soul",Jazz
Thomas Enhco,"Jazz, classical, contemporary jazz",Jazz
Wolfgang Amadeus Mozart,"Classical, opera, symphony",Classical
Rewired88,"Electronic, Synthwave, Industrial",Electronic
Ronald Stevenson,"Classical, Avant-garde, Modernism",Classical
Eusebius,"Classical, Romantic, Impressionist",Classical
Piano Novel,"Classical, Pop, Jazz",Classical
Milosz Magin,"classical, contemporary classical, folk",Classical
Franz Schubert,"Classical, Romantic, Art Song",Classical
Goldbæk,"Pop, Indie, Electronic",Electronic
Hugar,"Ambient, Neo-classical, Electronica",Ambient
Domenico Scarlatti,"Baroque, Classical, Keyboard",Baroque
Cecilia De Maria,"Pop, R&B, Soul",Classical
Dmitri Shostakovich,"Classical, symphonic, chamber",Classical
Ludovico Einaudi,"Classical, ambient, neoclassical",Contemporary Classical
Alma Deutscher,"Classical, Opera, Contemporary",Classical
Søndag Søndag,"Pop, Electronic, Indie",Indie pop
Anne Chmelewsky,"Pop, R&B, Indie folk",Classical
Andy Stringer,"Pop, R&B, Soul",Pop
George Frideric Handel,"Baroque, Classical, Opera",Baroque
See Siang Wong,"Classical, Jazz, Contemporary piano",Classical
Beloved Melodies,"Pop, R&B, Electronic",Pop
Remo Anzovino,"Classical, Ambient, Electronic",Classical
Hauschka,"Classical, experimental, electronic",Modern Classical
Hans Zimmer,"Classical, Film Score, Electronic",Soundtrack
Yiruma,"Classical, contemporary classical, new-age",Classical
Lucas Forch,"Electronic, Dance, Pop",Pop
Pieter de Graaf,"Jazz, Electronic, Experimental",Jazz
Olga Scheps,"Classical, contemporary classical, piano",Classical
Sia Furler,"Pop, Electropop, Indie pop",Pop
Serge Gainsbourg,"Chanson, French pop, Jazz.",Chanson
Amy Beach,"Classical, Romantic, American Folk",Classical
Arcade Fire,"Indie rock, art rock, baroque pop",Indie rock
Jorge Grundman,"Classical, contemporary classical, orchestral",Classical
Henrietta Smith-Rolla,"Ambient, Electronic, Experimental",Electronic
Gabriel Fauré,"Romantic, Impressionist, Classical",Classical
"Joseph Hellmesberger, Jr.","Classical, Romantic, Chamber Music",Classical
Franz Liszt,"Romantic, Classical, Orchestral",Classical
Francesco Tristano,"Classical, Electronic, Jazz",Classical
Benj Pasek,"Pop, musical theatre, film score",Musical Theatre
Marcin,"Jazz, Classical, Fusion",Jazz
Claude Debussy,"Impressionism, Classical, Avant-garde",Classical
Felix Mendelssohn,"Classical, Romantic, Chamber Music",Classical
Ennio Morricone,"Classical, Soundtrack, Avant-garde",Classical
Phoria,"Indie, electronic, ambient",Indie pop
Anna Phoebe,"Classical, Rock, World",Classical
Tony Calabro,"Pop, R&B, Soul",Pop
Emmy Lindström,"Pop, R&B, Soul",Pop
David Schultz,"Pop, Rock, Americana",Pop
Jean Sibelius,"Classical, Romantic, Modernism",Classical
Subsona,"Electronic, experimental, alternative",Electronic
Federico Mompou,"Classical, Impressionist, Spanish Folk",Classical
Octavien X,"Pop, R&B, Electronic",Electronic
MAGUIRE,"Pop, R&B, Soul",Pop
Johann Strauss II,"Classical, waltz, operetta",Classical
Zimerman Orchestra,"Classical, Orchestra, Piano",Classical
Masayoshi Fujita,"Ambient, Experimental, Minimalism",Electronic
Dario Marianelli,"Classical, Soundtrack, Contemporary Classical",Classical
Joaquín Rodrigo,"Classical, Spanish music, Orchestral",Classical
RPM (Relaxing Piano Music),"Jazz, Classical, Ambient",Piano Music
Leone Sinigaglia,"Classical, Impressionist, Modernistic",Classical
Nils Frahm,"Ambient, Electronic, Classical",Ambient
Antonín Dvořák,"Classical, Romantic, Nationalistic",Classical
Pyotr Ilyich Tchaikovsky,"Classical, Romantic, Ballet",Classical
Van Vogel Ensemble,"Electronic, Synthwave, Ambient",Jazz
G-Unit,"Hip-hop, Gangsta rap, East Coast hip hop",Hip hop
Dr. Dre,"Hip-hop, rap, West Coast hip-hop",Hip hop
Cypress Hill,"Hip hop, rap, alternative rock",Hip hop
N.W.A.,"Hip hop, gangsta rap, West Coast hip hop",Hip hop
A Tribe Called Quest,"Hip Hop, Jazz Rap, Alternative Hip Hop",Hip hop
Tony Scott,"Jazz, Bebop, Fusion",Jazz
DMX,"Hip hop, rap, R&B",Hiphop
Kelis,"R&B, pop, hip-hop",RB
Westside Connection,"West Coast Hip Hop, Gangsta Rap, G-Funk",Hiphop
Rilès,"Rap, R&B, Pop",Hiphop
Boys Noize,"Electronic, Techno, House",Electronic
Jeremih,"R&B, hip hop, pop",RB
Ice Cube,"Hip hop, gangsta rap, west coast hip hop",Hip hop
Luniz,"West Coast Hip Hop, Gangsta Rap, G-funk",Hiphop
The Notorious B.I.G.,"Hip hop, rap, East Coast hip hop",Hiphop
Eve,"Hip hop, R&B, Pop",Hiphop
Kendrick Lamar,"Hip Hop, Rap, Jazz",Hiphop
Big Sean,"Hip-hop, rap, R&B",Hiphop
Diddy,"Hip hop, R&B, Pop",Hiphop
Fabolous,"Hip-hop, rap, East Coast hip-hop",Hip hop
DaBaby,"Hip hop, trap, rap",Hip hop
Lil Wayne,"Hip hop, rap, trap",Hiphop
Grits,"Hip hop, Christian rap, Southern hip hop",Christian Hip Hop
Lil Baby,"Hip hop, trap, rap",Hip hop
Tech N9ne,"Hip hop, rap, hardcore rap",Hip hop
Rakim,"Hip hop, rap, East Coast hip hop",Hip hop
Tory Lanez,"Hip hop, R&B, Pop",Hip hop
Dead Prez,"Hip-hop, political rap, conscious rap",Hip hop
Bow Wow,"Hip hop, R&B, pop",Hip hop
2Pac,"Hip Hop, Gangsta Rap, West Coast Hip Hop",Hip hop
Busta Rhymes,"Hip hop, rap, reggae",Hip hop
T-Pain,"Hip-hop, R&B, Pop",RB
Method Man,"Hip-hop, East Coast hip-hop, Hardcore hip-hop",Hip hop
Ying Yang Twins,"Hip hop, crunk, southern hip hop",Hip hop
Ludacris,"Hip hop, Southern hip hop, Crunk",Hiphop
Snoop Dogg,"Hip hop, rap, reggae",Hip hop
Tyga,"Hip-hop, rap, trap",Rap
Missy Elliott,"Hip hop, R&B, Pop",Hiphop
D12,"Hip hop, rap rock, horrorcore",Hip hop
The Game,"Hip hop, West Coast hip hop, Gangsta rap",Hip hop
R. Kelly,"R&B, soul, hip hop",RB
Waka Flocka Flame,"Hip hop, trap, rap",Hiphop
Xzibit,"Hip-hop, West Coast hip-hop, Gangsta rap",Hip hop
Lil Tecca,"Hip-hop, trap, rap",Hip hop
House Of Pain,"Hip hop, rap, alternative hip hop",Hip hop
Lloyd Banks,"Hip hop, rap, gangsta rap",Hiphop
Jim Jones,"Hip Hop, rap, trap",Hip hop
Houston,"Hip-Hop, R&B, Trap",RB
Fat Joe,"Hip hop, Latin rap, East Coast hip hop",Hiphop
Jibbs,"Hip hop, rap, pop",Hiphop
Cali Swag District,"Hip hop, rap, dance",Hip hop
Lil Jon & The East Side Boyz,"Hip-Hop, Crunk, Dirty South",Hiphop
Chingy,"Hip hop, rap, R&B",Hiphop
Mystikal,"Hip hop, Southern hip hop, Dirty rap",Hip hop
MiMS,"Hip-hop, R&B, Pop",Hip hop
Nas,"Hip hop, East coast hip hop, Conscious hip hop",Hip hop
Blackstreet,"R&B, Hip hop, Soul",RB
Dem Franchize Boyz,"Hip Hop, Crunk, Southern Rap",Hip hop
Ja Rule,"Hip hop, R&B, Gangsta rap",Hip hop
Trey Songz,"R&B, hip hop, pop",RB
Rick Ross,"Hip hop, rap, trap",Hiphop
Jeezy,"Hip hop, trap, southern hip hop",Hiphop
Warren G,"Hip hop, G-funk, West Coast hip hop",Hiphop
Fort Minor,"Hip hop, rap rock, alternative hip hop",Hiphop
Shop Boyz,"Hip hop, snap, rap",Hip hop
Chamillionaire,"Hip hop, southern rap, gangsta rap",hiphop
Cassidy,"Hip Hop, Rap, East Coast Hip Hop",Hip hop
Rae Sremmurd,"Hip hop, rap, trap",Hip hop
Petey Pablo,"Hip hop, rap, southern hip hop",Hip hop
Cashmere Cat,"Electronic, R&B, Pop",Electronic
Trick Daddy,"Hip Hop, Southern Hip Hop, Dirty South",Hip hop
Khia,"Hip hop, R&B, rap",Hip hop
J-Kwon,"Hip hop, rap, southern hip hop",Hip hop
Kris Kross,"Hip hop, rap, R&B",Hiphop
Pusha T,"Hip hop, rap, trap",Hiphop
Juelz Santana,"Hip hop, rap, trap",Hiphop
J. Dash,"Pop, hip hop, R&B",Hip hop
Wu-Tang Clan,"Hip-hop, rap, hardcore hip-hop",HipHop
New Boyz,"Hip hop, pop, rap",Hiphop
"Royce Da 5'9""","Hip hop, rap, underground hip hop",Hiphop
Fugees,"Hip hop, reggae, R&B",Hip hop
Pantera,"Thrash Metal, Groove Metal, Heavy Metal",Groove Metal
Slipknot,"Nu Metal, Alternative Metal, Heavy Metal",Metal
System Of A Down,"Alternative metal, nu metal, hard rock",Alternative Metal
Metallica,"Thrash Metal, Heavy Metal, Hard Rock",Heavy Metal
Iron Maiden,"Heavy Metal, Hard Rock, NWOBHM",Heavy Metal
Black Sabbath,"Heavy Metal, Hard Rock, Doom Metal",Heavy Metal
Avenged Sevenfold,"Heavy Metal, Hard Rock, Metalcore",Metal
Five Finger Death Punch,"Heavy Metal, Hard Rock, Nu Metal",Metal
Rammstein,"Industrial, Neue Deutsche Härte, Metal",Industrial
Slayer,"Thrash Metal, Speed Metal, Heavy Metal",Thrash Metal
Marilyn Manson,"Alternative Metal, Industrial Rock, Shock Rock",Industrial
Korn,"Nu Metal, Alternative Metal, Industrial Metal",Nu metal
Rob Zombie,"Heavy Metal, Industrial Metal, Alternative Metal",Metal
Motörhead,"Heavy Metal, Hard Rock, Rock and Roll",Heavy metal
Megadeth,"Thrash Metal, Heavy Metal, Speed Metal",Thrash Metal
Volbeat,"Heavy Metal, Rockabilly, Hard Rock",Rock
Disturbed,"Alternative Metal, Heavy Metal, Hard Rock",Metal
Ozzy Osbourne,"Heavy Metal, Hard Rock, Classic Rock",Heavy Metal
TOOL,"Progressive Metal, Alternative Metal, Art Rock",Progressive Metal
Bullet For My Valentine,"Metalcore, heavy metal, hard rock",Metal
Lamb of God,"Thrash Metal, Groove Metal, Metalcore",Metal
Dope,"Alternative Metal, Nu Metal, Industrial Metal",Metal
Bring Me The Horizon,"Metalcore, post-hardcore, alternative rock",Metal
Deftones,"Alternative Metal, Nu Metal, Experimental Rock",Alternative Metal
Judas Priest,"Heavy Metal, Hard Rock, Speed Metal",Heavy Metal
Limp Bizkit,"Nu metal, rap rock, alternative metal",Nu metal
Hatebreed,"Metalcore, hardcore punk, thrash metal",Metal
Mastodon,"Progressive Metal, Sludge Metal, Alternative Metal",Metal
Sepultura,"Thrash metal, groove metal, death metal",Thrash Metal
Suicidal Tendencies,"Crossover thrash, punk rock, hardcore punk",Punk
Mudvayne,"Alternative Metal, Nu Metal, Hard Rock",Alternative Metal
White Zombie,"Metal, Industrial, Alternative",Metal
Killswitch Engage,"Metalcore, melodic metalcore, alternative metal",Metal
Children Of Bodom,"Melodic death metal, power metal, thrash metal",Melodic Death Metal
In Flames,"Melodic Death Metal, Alternative Metal, Metalcore",Melodic Death Metal
Machine Head,"Groove Metal, Thrash Metal, Alternative Metal",metal
Anthrax,"Thrash Metal, Heavy Metal, Speed Metal",Thrash Metal
Prong,"Thrash metal, industrial metal, alternative metal",Metal
Fear Factory,"Industrial Metal, Groove Metal, Nu Metal",Industrial Metal
Arch Enemy,"Melodic Death Metal, Metalcore, Thrash Metal",Melodic Death Metal
Trivium,"Metalcore, Thrash Metal, Heavy Metal",Metal
Clawfinger,"Rap metal, rap rock, industrial metal",Metal
Twisted Sister,"Heavy Metal, Hard Rock, Glam Metal",Heavy Metal
DOWN,"Sludge metal, Southern rock, Stoner rock",Metal
Amon Amarth,"Death Metal, Melodic Death Metal, Viking Metal",Genre Melodic Death Metal
Within Temptation,"Symphonic Metal, Gothic Metal, Alternative Rock",Symphonic metal
Parkway Drive,"Metalcore, hardcore punk, melodic metalcore",Metal
Gojira,"Progressive Metal, Death Metal, Groove Metal",Metal
Ghost,"Heavy Metal, Hard Rock, Doom Metal",Metal
Type O Negative,"Gothic Metal, Doom Metal, Alternative Metal",Gothic Metal
Lacuna Coil,"Gothic metal, alternative metal, symphonic metal",Lacuna Coil Gothic Metal
Soil,"Rock, Metal, Alternative",Metal
Static-X,"Industrial metal, nu metal, alternative metal",Industrial
Nightwish,"Symphonic metal, power metal, symphonic rock",Symphonic Metal
Dream Theater,"Progressive Metal, Progressive Rock, Alternative Metal",Progressive Metal
Giuseppe Verdi,"Opera, Romantic, Classical",Opera
Giacomo Puccini,"Opera, Classical, Romanticism",Classical
Gaetano Donizetti,"Classical, opera, bel canto",Classical
John Newton,"Pop, Rock, Country",ChristianGospel
Leonard Bernstein,"Classical, musical theater, jazz",Classical
Eduardo di Capua,"Classical, neapolitan, opera",Classical
Ernesto de Curtis,"Classical, opera, neapolitan ballads",Classical
Gioachino Rossini,"Opera, Classical, Romantic",Classical
Francesco Cilea,"Classical, Romantic, Opera",Classical
Henry Purcell,"Baroque, Classical, Opera",Baroque
Georges Bizet,"Classical, Romantic, Opera",Classical
Ruggero Leoncavallo,"Classical, Opera, Romanticism",Classical
Jules Massenet,"Classical, Romantic, Opera",Classical
Umberto Giordano,"Opera, classical, vocal",Opera
Richard Strauss,"Classical, Romantic, Orchestral",Classical
Léo Delibes,"Classical, Romantic, Ballet",Classical
Amilcare Ponchielli,"Classical, Opera, Romanticism",Classical
Vincenzo Bellini,"Classical, opera, vocal",Classical
Francesco Araia,"Pop, Rock, Electronic",Classical
Chet Baker,"Jazz, Cool Jazz, West Coast Jazz",Jazz
Bill Evans Trio,"Jazz, Cool Jazz, Post-Bop",Jazz
John Coltrane,"Jazz, Avant-garde jazz, Modal jazz",Jazz
Chick Corea,"Jazz, fusion, classical",Jazz
Betty Carter,"Jazz, bebop, vocal jazz",Jazz
Bill Evans,"Jazz, Cool Jazz, Post-bop",Jazz
Keith Jarrett,"Jazz, classical, improvisational",Jazz
Lester Young,"jazz, swing, bebop",Jazz
Wes Montgomery,"Jazz, Blues, Soul",Jazz
John Coltrane Quartet,"Jazz, Avant-garde jazz, Hard bop",jazz
Art Blakey & The Jazz Messengers,"Jazz, Hard Bop, Bebop",Jazz
Oscar Peterson Trio,"jazz, bebop, swing",Jazz
Sonny Clark,"Jazz, Hard Bop, Post-Bop",Jazz
Lee Konitz,"Jazz, bebop, cool jazz",Jazz
Joe Pass,"Jazz, Bebop, Swing",Jazz
Red Garland,"Jazz, Bebop, Hard Bop",Jazz
Art Farmer,"Jazz, hard bop, bebop",Jazz
Charlie Parker,"Jazz, Bebop, Swing",Jazz
Lorez Alexandria,"Jazz, vocal jazz, soul",Jazz
Anita O'Day,"Jazz, Swing, Big Band",Jazz
Dizzy Gillespie,"Jazz, bebop, Afro-Cuban jazz",Jazz
Thelonious Monk,"Jazz, Bebop, Hard Bop",Jazz
Freddie Hubbard,"Jazz, Hard Bop, Post-Bop",Jazz
Gerry Mulligan,"Jazz, Cool Jazz, West Coast Jazz",Jazz
The Modern Jazz Quartet,"Jazz, Blues, Classical",Jazz
Herbie Hancock,"Jazz, Funk, Fusion",Jazz
Miles Davis,"Jazz, Bebop, Cool Jazz",Jazz
Gary Burton,"Jazz, fusion, contemporary jazz",Jazz
Etta Jones,"Jazz, blues, soul",Jazz
Art Pepper,"Jazz, Bebop, Cool Jazz",Jazz
Yusef Lateef,"Jazz, World Music, Soul",Jazz
Lou Donaldson,"Jazz, soul, funk",Jazz
Vince Guaraldi Trio,"Jazz, Bossa Nova, Bebop",Jazz
Duke Ellington,"Jazz, Swing, Big Band",Jazz
Benny Golson,"Jazz, Hard Bop, Post-Bop",Jazz
Herbie Mann,"Jazz, World, Latin",Jazz
Clifford Brown,"Jazz, Hard Bop, Bebop",Jazz
Miles Davis Quintet,"Jazz, Bebop, Cool Jazz",Jazz
Quincy Jones,"Jazz, R&B, Fusion",Jazz
Art Tatum,"Jazz, Bebop, Swing",Jazz
Kenny Burrell,"Jazz, Blues, Soul",Jazz
Donald Byrd,"Jazz, soul, funk",Jazz
Hank Mobley,"Hard Bop, Soul Jazz, Post-Bop",Jazz
Ahmad Jamal Trio,"Jazz, Bebop, Post-Bop",Jazz
Jimmy Smith,"Jazz, soul, blues",Jazz
Mal Waldron,"Jazz, Avant-garde, Post-bop",Jazz
Paul Desmond,"Jazz, Cool Jazz, Bossa Nova",Jazz
Dave Holland Quartet,"Jazz, Post-Bop, Avant-Garde Jazz",Jazz
Jackie McLean,"Hard Bop, Post Bop, Modal Jazz",Jazz
Coleman Hawkins,"Jazz, Swing, Bebop",Jazz
Dakota Staton,"Jazz, R&B, Soul",Jazz
Dave Brubeck,"Jazz, Cool Jazz, Bebop",Jazz
Dexter Gordon,"Jazz, Bebop, Hard Bop",Jazz
Lionel Hampton,"Jazz, Swing, Big Band",Jazz
Jan Johansson,"Jazz, folk, classical",Jazz
Lars Gullin,"Jazz, Cool Jazz, Bebop",Jazz
Johnny Hodges,"Jazz, Swing, Big band",Jazz
Lee Morgan,"Jazz, Hard Bop, Bebop",Jazz
Ben Webster,"Jazz, big band, swing",Jazz
Alice Coltrane,"Jazz, Avant-Garde, Spiritual Jazz",Jazz
Eartha Kitt,"Jazz, Pop, Cabaret",Jazz
Horace Silver,"Jazz, Hard Bop, Post-Bop.",Jazz
Mary Lou Williams,"Jazz, Swing, Bebop",Jazz
Art Blakey,"Jazz, Hard Bop, Bebop",Jazz
Kenny Dorham,"Jazz, hard bop, bebop",Jazz
Thelonious Monk Trio,"Jazz, Bebop, Hard Bop",Jazz
McCoy Tyner,"Jazz, post-bop, modal jazz",Jazz
Albert Ayler,"Free Jazz, Avant-garde Jazz, Spiritual Jazz",Free Jazz
Bud Powell,"Bebop, Jazz, Hard Bop",Jazz
Michael Naura Quartet,"Jazz, Avant-Garde, Post-Bop",Jazz
Nancy Wilson,"Jazz, R&B, Soul",Jazz
Phil Woods,"Jazz, Bebop, Big Band",Jazz
Roy Hargrove,"Jazz, Bebop, Fusion",Jazz
Mel Tormé,"Jazz, pop, swing",Jazz
Oliver Nelson,"Jazz, soul, funk",jazz
Stanley Turrentine,"Jazz, Soul, Blues",Jazz
Esbjörn Svensson Trio,"Jazz, Electronic, Experimental",Jazz
Nina Simone,"Soul, Jazz, Blues",Jazz
Count Basie,"Jazz, Swing, Big Band",Jazz
Johnny Griffin,"Jazz, Bebop, Hard Bop",Jazz
The Ben Webster Quintet,"Jazz, Swing, Bebop",Jazz
Grant Green,"jazz, soul, funk",Jazz
Joe Lovano,"Jazz, Bebop, Avant-garde",Jazz
The Dave Brubeck Quartet,"Jazz, Cool Jazz, Bebop",Jazz
The Monty Alexander Trio,"jazz, reggae, calypso",Jazz
Leroy Hutson,"Soul, R&B, Funk",Soul
George Shearing Quintet,"Jazz, bebop, cool jazz",Jazz
Milt Jackson,"Jazz, bebop, hard bop",Jazz
Galantis,"pop, dance, electronic",Electronic
Lana Del Rey,"Pop, Indie Pop, Dream Pop",Indie Pop
Sebastian Ingrosso,"House, Progressive House, Electro House",Electronic
Hardwell,"Progressive House, Electro House, Big Room",Electronic
Nicky Romero,"Progressive House, Electro House, Big Room",Progressive House
DVBBS,"Electronic, House, Dance",Electronic
Otto Knows,"Progressive House, Electro House, Pop",Electronic
Martin Solveig Vs. GTA,"Electro House, Big Room, Future House",Electronic
Ivan Gough,"House, Electro, Progressive",Electronic
Goodwill,"Electronic, dance, house",Dance
Hardwell & Dyro feat. Bright Lights,"Progressive House, Big Room, Electro House",Electronic
Afrojack & Shermanology,"Electronic, Dance, House",Electronic
Tim Berg,"Progressive House, Electro House, Dance Pop",Electronic
Stromae,"Electro-pop, Dance, Hip-hop",Electronic
Empire of the Sun,"Electronic, Synthpop, Indie Pop",Electronic
Dimitri Vegas & Like Mike,"Electro House, Big Room, Progressive House",Electronic
Afrojack,"Electronic, dance, house",Electronic
Fedde Le Grand,"House, Electro House, Progressive House",Electronic
Example,"Pop, Electronic, Dance",Electronic
Stadiumx,"Progressive House, Big Room, Electro House",EDM
Krewella,"Electronic, Dubstep, Pop",Electronic
Fatboy Slim,"Big Beat, Electronica, House",Electronic
Chuckie,"Dance, Electronic, House",Electronic
Ian Carey,"House, Electro House, Progressive House",House
Bingo Players,"Electro House, Progressive House, Big Room House",Electronic
Martin Solveig,"House, electronic, dance",House
Yellow Claw,"Trap, EDM, Hip hop",Trap
Benny Benassi,"Electro House, Tech House, EDM",Electronic
DJ Fresh,"Drum and Bass, Dubstep, House",Drum and Bass
Knife Party,"Dubstep, electro house, drum and bass",Electronic
Borgore,"Dubstep, Trap, EDM",Dubstep
Kid Cudi,"Hip hop, alternative rock, electronic",Hiphop
Yeah Yeah Yeahs,"Indie Rock, Garage Rock, Post-Punk",Indie rock
deadmau5,"Progressive House, Electro House, Techno",Electronic
The Temper Trap,"Indie rock, alternative rock, indie pop",Indie rock
Tujamo,"House, Electronic, Dance.",Electro House
Showtek,"Electro House, Big Room, Hardstyle",Electronic
Valentino Khan,"Electronic, House, Trap",Electronic
AronChupa,"Electronic, dance, house",Electronic
Good Times Ahead,"Electronic, Trap, House",Electronic
Jack Ü,"Electronic, Dance, Trap",Electronic
Dillon Francis,"EDM, moombahton, trap",EDM
Deniz Koyu,"Progressive House, Electro House, Future House",Electro House
W&W,"Big Room, Trance, Electro House",Trance
Dada Life,"Electro House, Big Room, Progressive House",Electronic
NERVO,"Electronic, dance, pop",Electronic
Axwell,"Progressive House, Electro House, Big Room",House
Nadia Ali,"Progressive House, Trance, Dance-Pop",Electronic
The Aston Shuffle,"Electronic, house, dance",Electronic
Don Diablo,"House, Future House, Electro House",Electronic
Dirty South,"Electronic, House, Trance",Hip Hop
Made In June,"Dance, Electronic, Pop",Electronic
CAZZETTE,"Electronic, House, Dance",Electronic
Chris Lake,"House, Tech House, Bass House",Electronic
Porter Robinson,"Electronic, EDM, Synthpop",Electronic
Sander van Doorn,"Progressive House, Trance, Techno",Trance
Kaskade,"House, EDM, Progressive House",Electronic
Eric Prydz,"Progressive House, Tech House, Techno",House
PMZ,"Hip hop, electronic, reggae",EDM
Studio Killers,"Electropop, Dance-pop, Synthpop",Electronic
Nause,"Progressive House, Electro House, Pop",Electronic
Picco,"House, EDM, Dance",Dance
Yenson,"Pop, R&B, Dance",Pop
BURNS,"Pop, EDM, Dance",Electronic
Felix Da Housecat feat. will.i.am,"Electronic, House, Hip-hop",Electrohouse
Blasterjaxx,"Electro House, Big Room, Progressive House",Electronic
Tony Junior,"Electro House, Big Room, Bass House",House
Ummet Ozcan,"Progressive House, Electro House, Big Room",EDM
Julian Jordan,"Progressive House, Electro House, Big Room",Electronic
KSHMR,"EDM, big room, future house",EDM
Sandëro,"Pop, R&B, Soul",Pop
Laidback Luke,"Electro House, Dutch House, Big Room",Electronic
The Bloody Beetroots,"Electronic, dance, rock",Electronic
Steve Angello,"House, electro house, progressive house",Progressive House
Vicetone,"Progressive House, Big Room, Dance",Electronic
Omnia,"Trance, World, Electronic",Electronic
Pendulum,"Drum and Bass, Electronica, Rock",Drum and Bass
M83,"Electronic, Synthpop, Shoegaze",Electronic
Global Deejays,"Electronic, Dance, House",Electronic
Laserkraft 3D,"Electro House, Tech House, Dance",Electronic
Dash Berlin,"Trance, progressive house, electro house",Trance
VINAI,"Electro House, Big Room, Dance",Electronic
Kaz James,"House, Dance, Electronic",Electronic
Micha Moor,"Progressive House, Electro House, Big Room",EDM
Carnage,"Trap, Electronic, Hip-Hop",EDM
Firebeatz,"Progressive House, Electro House, Big Room",EDM
Dimitri Vangelis & Wyman,"Progressive House, Big Room, Electro House",Progressive House
Lucas & Steve,"House, Future House, Dance",House
Tchami,"House, Future House, Bass House",House
Above & Beyond,"Trance, progressive house, electronica",Trance
Chuckie feat. Gregor Salto,"House, Electronic, Dance",Dance
Third Party,"Progressive House, Big Room, Dance",Progressive House
Tom Hangs,"Dance, House, Electronic",House
Azealia Banks,"Hip hop, electronic, house",Hip hop
Daddy's Groove,"House, EDM, Progressive House",House
Keane,"pop, rock, alternative",Rock
Armin van Buuren,"Trance, Progressive House, Big Room",Trance
Quintino,"House, Electro, Big Room",Electronic
Dzeko & Torres,"Progressive House, Electro House, Big Room",Electronic
Shaun Frank,"Pop, dance, electronic",House
Michael Feiner,"House, Dance, Electronic",House
Dave Darell,"Electro House, Progressive House, Dance",House
Junior Caldera,"House, Electro Pop, Dance",Electronic
The Partysquad,"Dance, Electronic, Hip-hop",Dancehall
Fake Blood,"Electronic, House, Dance",Electronic
Jay Hardway,"Progressive House, Electro House, Dance",EDM
Aaron Smith,"Electronic, House, Dance",Electronic
Garmiani,"Electronic, Dance, Reggae",Electronic
Wynter Gordon,"Pop, Dance, R&B",Pop
Tommy Trash,"Electro House, Progressive House, Big Room",Electronic
Oliver Heldens,"House, Deep house, Future house",House
Justice,"Electronic, Dance, Electro-Rock",Electronic
Nari,"Pop, R&B, Soul",Pop
FISHER,"House, Tech House, Dance Punk",House
Congorock,"Electro house, EDM, trap",Electronic
Michael Calfan,"House, deep house, future house",House
Sidney Samson,"Electro House, Dutch House, Trap",Electronic
Disclosure,"House, Electronic, Dance.",Electronic
Moby,"Electronic, ambient, downtempo",Electronic
Kölsch,"Electronic, Techno, House",Techno
CamelPhat,"House, Tech House, Progressive House",House
Adrian Lux,"Electronic, Dance, House",Electronic
Adam Beyer,"Techno, Tech House, House",Techno
Zonderling,"House, tech house, future house",Electronic
M.A.N.D.Y.,"House, techno, electronica",Electronic
Diddy - Dirty Money,"hip hop, R&B, pop",Hiphop
Supermode,"Electronic, House, Dance",Electronic
Ten Walls,"Deep House, Tech House, Progressive House",Electronic
Baauer,"Trap, EDM, Hip-Hop",Electronic
Yves V,"Progressive House, Big Room, Electro House",Electro House
Robin Schulz,"Pop, dance, tropical house",Electronic
ZHU,"Electronic, house, dance",Electronic
Madeon,"Electro House, Synth-pop, Future Bass",Electropop
Timmy Trumpet,"EDM, house, electro house",Electronic
Sub Focus,"Drum and Bass, Dubstep, Electronic",Drum and Bass
Disciples,"House, deep house, electronica",Electronic
AlunaGeorge,"Pop, electronic, R&B",Electronic
Flux Pavilion,"Dubstep, Electronic, Bass Music",Dubstep
Chocolate Puma,"House, Tech House, Future House",House
Tensnake,"House, Disco, Electronic",Electronic
CID,"House, Electronic, Dance",Electronic
MOTi,"Progressive House, Electro House, Big Room",Electronic
NERO,"Dubstep, electronic, drum and bass",Dubstep
Infinity Ink,"House, electronic, dance",Electronic
Duke Dumont,"House, Deep House, Electronic",House
Basto,"Progressive House, Electro House, Dance",Electro house
Vato Gonzalez,"House, Electro, Dance",House
Lykke Li,"Indie pop, Indie rock, Electropop",Indie pop
Scooter,"Techno, dance, trance",Techno
Redlight,"Electronic, house, bass house",Electronic
Cedric Gervais,"House, Dance, Electronic",Electronic
ODESZA,"Electronic, Indie, Ambient",Electronic
Brennan Heart,"Hardstyle, techno, trance",Hardstyle
KDA,"House, electronic, dance",Dance
Seeb,"pop, electronic, dance",Electronic
Sandro Silva,"Electro House, Big Room, Future House",EDM
Magnetic Man,"Dubstep, electronic, bass music",Dubstep
DJ Zinc,"Drum and Bass, Jungle, UK Garage",Drum and Bass
